Model,RMSE,MAE,R2,Best Alpha
Tuned Ridge with Log Target,26349.396179130086,16231.198177530061,0.9094835525568388,177.82794100389228
Tuned Ridge Regression,33519.4367594423,20144.41408464884,0.8535195752668929,316.22776601683796
Ridge Regression alpha=1,40432.78511650795,21004.92260545422,0.7868656341178967,1.0
Baseline Mean Model,87619.03450611533,62575.926451960964,-0.0008824918802490256,
